2022-09-23,P1-J1 Departemental,Les resultats des championnats par equipe senior du jour !,2022-09-23.jpg,0
2022-09-24,P1-J1 National & Regional,Les resultats des championnats par equipe senior du jour !,2022-09-24.jpg,0
2022-10-07,P1-J2 Departemental,Les resultats des championnats par equipe senior du jour !,2022-10-07.jpg,0
2022-10-08,P1-J2 National & Regional,Les resultats des championnats par equipe senior du jour !,2022-10-08.jpg,0
2022-10-21,P1-J3 Departemental,Les resultats des championnats par equipe senior du jour !,2022-10-21.jpg,0
2022-10-22,P1-J3 National & Regional,Les resultats des championnats par equipe senior du jour !,2022-10-22.jpg,0
2022-11-11,P1-J4 Departemental,Les resultats des championnats par equipe senior du jour !,2022-11-11.jpg,0
2022-11-12,P1-J4 National & Regional,Les resultats des championnats par equipe senior du jour !,2022-11-12.jpg,0
2022-11-18,P1-J5 Departemental,Les resultats des championnats par equipe senior du jour !,2022-11-18.jpg,0
2022-11-19,P1-J5 National & Regional,Les resultats des championnats par equipe senior du jour !,2022-11-19.jpg,0
2022-11-25,P1-J6 Departemental,Les resultats des championnats par equipe senior du jour !,2022-11-25.jpg,0
2022-11-26,P1-J6 National & Regional,Les resultats des championnats par equipe senior du jour !,2022-11-26.jpg,0
